A&A	Astronomy and Astrophysics
IJQE	IEEE Journal of Quantum Electronics
IJQI	International Journal of Quantum Information
IJRA	IEEE Journal of Robotics Automation
IJRAI	International Journal of Radiation Applications and Instrumentation D Nuclear Tracks and Radiation Measurements
IJRFI	IEEE Journal of Radio Frequency Identification
IJRPC	International Journal for Radiation Physics and Chemistry
IJRR	International Journal of Robotics Research
IJRS	International Journal of Remote Sensing
IJRSP	Indian Journal of Radio and Space Physics
IJSAC	IEEE Journal on Selected Areas in Communications
IJSC	International Journal of Satellite Communications
IJScA	International Journal of Supercomputer Applications
IJSE	International Journal of Solar Energy
IJSEd	International Journal of Science Education
IJSMD	International Journal for Simulation and Multidisciplinary Design Optimization
IJSME	International Journal of Science and Mathematics Education
IJSNM	International Journal of Smart and Nano Materials
IJSS	International Journal of Solids and Structures
IJSSC	IEEE Journal of Solid-State Circuits
IJSTA	IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing
IJSTQ	IEEE Journal of Selected Topics in Quantum Electronics
IJSyS	International Journal of Systems Science
IJT	International Journal of Thermophysics
IJTFM	IEEJ Transactions on Fundamentals and Materials
IJTIA	IEEJ Transactions on Industry Applications
IJTJE	International Journal of Turbo and Jet Engines
IJTP	International Journal of Theoretical Physics
IJTPE	IEEJ Transactions on Power and Energy
IJTSM	IEEJ Transactions on Sensors and Micromachines
ILCSM	IEEE LCS Magazine
IllOB	Bulletin of the Astronomical Observatory of the University of Illinois
ILOMP	Publications of the International Latitude Observatory at Mizusawa
ILSJ	International Lunar Society Journal
ILTS	IEEE LTS
IMA	Institute for Mathematics and Its Applications
IMeRv	International Metals Reviews
IMGWL	IEEE Microwave and Guided Wave Letters
IMMag	IEEE Microwave Magazine
ImMun	Imago Mundi: The International Journal for the History of Cartography
IMPA	Interscience Monographs in Physics and Astronomy
IMRv	International Materials Reviews
imsd.conf	IEEE MTT-S International Microwave Symposium Digest
InAgr	International Agrophysics
InASP	Indian Academy of Sciences Proceedings Section
INASR	INASAN Science Reports
InCh	Inorganic Chemistry
InEPS	Indian Academy of Sciences Proceedings: Earth and Planetary Sciences
InES	Indian Academy of Sciences Proceedings: Section C Engineering Sciences
InfCo	Information Control
InfD	Information Display
InFiZ	Inzhenerno Fizicheskii Zhurnal
InfPh	Infrared Physics
InFuJ	Institute Fuel Journal
IngAr	Ingenieur Archiv
Ingeg	Ingegneria
InGeo	International Geophysics Series
INGN	The Newsletter of the Isaac Newton Group of Telescopes
InISA	Indian Institute of Science Journal of Aeronautical Society of India
InISJ	Indian Institute of Science Journal
InJAE	Indian Journal of Aerospace Engineering Division
InJET	Indian Journal of Electronics Telecommunication Engineering Division
InJHS	Indian Journal of the History of Science
InJME	Indian Journal of Mechanical Engineering Division
InJP	Indian Journal of Physics and Proceedings of the Indian Assocatiation for the Cultivation of Science
InJPA	Indian Journal of Physics Section A
InJPB	Indian Journal of Physics Section B
InJPh	Indian Journal of Physics
InJTP	Indian Journal of Theoretical Physics
INL	International Nano Letters
InLoP	Instytut Lotnictwa Prace
InMat	Inventiones Mathematicae
InMPP	Instytut Maszyn Przeplywowych Prace
InMS	Indian Academy of Sciences Proceedings Mathematical Sciences
InPhT	Infrared Physics and Technology
INSAP	Indian National Science Academy Proceedings Supplement
IntaC	Inta Conie
Inter	Interavia
INTMK	Itogi Nauki i Tekhniki Seriia Meteorologiia i Klimatologiia
INTSA	Itogi Nauki i Tekhniki Seriia Astronomiia
INTSF	Itogi Nauki i Tekhniki Seriia Fizika Plazmy
INTSI	Itogi Nauki i Tekhniki Seriia Issledovanie Kosmicheskogo Prostranstva
IntSM	Interavia Space Markets
INTSO	Itogi Nauki i Tekhniki Seriia Okeanologiia
INTSR	Itogi Nauki i Tekhniki Seriia Radiotekhnika
INTSS	Itogi Nauki i Tekhniki Seriia Sovremennye Problemy Matematiki
INTSV	Itogi Nauki i Tekhniki Seriia Vozdushnyi Transport
InvPr	Inverse Problems
IonIs	Ionosfernye Issledovaniia
Iono	Ionosphere
IOPSN	IOP SciNotes
IORAS	Anuario publicado pelo Imperial Observatorio do Rio de Janeiro Suplemento
iowa.rept	Iowa University Progress Report
IPAUC	INTERKOSMOS Prague Astronomicky Ustav Ceskoslovenske Akademie Ved
IPBS	Isotopes in the Physical and Biomedical Sciences
IPCDT	IEE Proceedings E: Computers and Digital Techniques
IPCI	IEEE Press Series on Computational Intelligence
IPCRS	IEE Proceedings F: Communications Radar and Signal Processing
IPCSV	IEE Proceedings: Communications Speech and Vision
IPCTA	IEE Proceedings D: Control Theory Applications
IPDMC	IEEE Press Series on Digital and Mobile Communication
IPElT	IEEE Press Series on Electronics Technology
IPEPA	IEE Proceedings B: Electric Power Applications
IPETS	IEEE Power and Energy Technology Systems Journal
IPEWT	IEEE Press Series on Electromagnetic Wave Theory
IPGTD	IEE Proceedings C: Generation Transmission Distribution
IPhoJ	IEEE Photonics Journal
IPM	Information Processing and Management
IPMAP	IEE Proceedings H: Microwaves Antennas and Propagation
IPMOA	IEE Proceedings H: Microwaves Optics and Antennas
IPMS	IEEE Press Series on Microelectronic Systems
IPNPR	Interplanetary Network Progress Report
IPOpt	IEE Proceedings J: Optoelectronics
Ippa	Ipparchos
IPPE	IEEE Press Series on Power Engineering
IPPSM	IEE Proceedings: Physical Science Measurement and Instrumentation Management and Education Reviews
IPRSP	IEE Proceedings F: Radar and Signal Processing
IPSSE	IEE Proceedings: Solid-State Electron Devices
IPTHS	IEEE Press Telecommunications Handbook Series
IPTL	IEEE Photonics Technology Letters
IRA	Infrared Astronomy
IrAJ	Irish Astronomical Journal
IrAJS	Irish Astronomical Journal Supplement
IREdu	International Review of Education
IRETE	IRE Transactions on Education
IRH	International Review of Hydrobiology
IrJST	Iranian Journal of Science Technology
IRMBP	Institut Royal Meteorologique de Belgique Publications Serie
IRNvP	International Review of Nuclear Physics
IRPC	International Reviews in Physical Chemistry
IS&T	Instrumentation Science and Technology
ISAP	ISA Proceedings
ISASS	Institute of Space and Astronautical Science Report
ISAT	ISA Transactions
ISBRv	International Space Business Review
iSci	iScience
ISCJS	ISRO Satellite Centre Journal of Spacecraft Technology
ISenJ	IEEE Sensors Journal
Isis	Isis. Journal of the History of Science Society
IsJAP	Istanbul University Faculty of Science Journal of Astronomy Physics
IsJT	Israel Journal of Technology
ISKZ	Issledovaniya Solntsa i Krasnykh Zvezd
IsMTD	Issledovaniia Mekhanike i Teploobmenu Dvukhfaznykh Sred
ISNL	Information Systems Newsletter
ISPAn	ISPRS Annals of Photogrammetry, Remote Sensing and Spatial Information Sciences
ISPAr	ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences
ISPL	IEEE Signal Processing Letters
ISPM	IEEE Signal Processing Magazine
ISRAA	ISRN Astronomy and Astrophysics
ISRv	Interdisciplinary Science Reviews
IsRvC	Istanbul University Faculty Science Review Serie C
ISSIR	ISSI Scientific Reports Series
ISSIS	ISSI Space Sciences Series
IsSRT	Israel Space Research and Technology Information Bulletin
IssUP	Issledovaniia Uprugosti i Plastichnosti
IssZK	Issledovanie Zemli Fiz Kosmosa
IST	Issues in Science and Technology
ISTP	ICTP Series in Theoretical Physics
ISTSP	IEEE Journal of Selected Topics in Signal Processing
ISysJ	IEEE Systems Journal
ITAB	Institut Teoreticheskoi Astronomii Byulleten
ITABO	Institute of Theoretical Astrophysics, Blindern-Oslo
ITAC	IEEE Transactions on Automatic Control
ITAer	IEEE Transactions on Aerospace
ITAES	IEEE Transactions on Aerospace Electronic Systems
ITANE	IEEE Transactions on Aerospace and Navigational Electronics
ITAP	IEEE Transactions on Antennas and Propagation
ITAS	IEEE Transactions on Applied Superconductivity
ITASS	IEEE Transactions on Acoustics Speech and Signal Processing
ITB	IEEE Transactions on Broadcasting
ITBE	IEEE Transactions on Biomedical Engineering
ITCAD	IEEE Transactions on Computer Aided Design
ITCHM	IEEE Transactions on Components Hybrids and Manufacturing Technology
ITCJ	ITC Journal
ITCmp	IEEE Transactions on Computers
ITCom	IEEE Transactions on Communications
ITCS	IEEE Transactions on Circuits Systems
ITED	IEEE Transactions on Electron Devices
ITEdu	IEEE Transactions on Education
ITEI	IEEE Transactions on Electrical Insulation
ITEIS	IEEJ Transactions on Electronics, Information and Systems
ITElC	IEEE Transactions on Electromagnetic Compatibility
ITEM	IEEE Transactions on Engineering Management
ITEnC	IEEE Transactions on Energy Conversion
ITGE	IEEE Transactions on Geoscience Electronics
ITGRS	IEEE Transactions on Geoscience and Remote Sensing
ITIA	IEEE Transactions on Industry Applications
ITIE	IEEE Transactions on Industrial Electronics
ITIEC	IEEE Transactions on Industrial Electronics and Control Instrumentation
ITIM	IEEE Transactions on Instrumentation Measurement
ITIP	IEEE Transactions on Image Processing
ITIT	IEEE Transactions on Information Theory
ITJSE	Indian Institute of Technology Journal on Section Engineering Technology
ITM	IEEE Transactions on Magnetics
ITME	IEEE Transactions on Military Electronics
ITMTT	IEEE Transactions on Microwave Theory Techniques
ITN	IERS Technical Note
ITNan	IEEE Transactions on Nanotechnology
ITNN	IEEE Transactions on Neural Networks
ITNS	IEEE Transactions on Nuclear Science
ITPA	Interscience Tracts on Physics and Astronomy
ITPAM	IEEE Transactions on Pattern Analysis and Machine Intelligence
ITPAS	IEEE Transactions on Power Apparatus Systems
ITPE	IEEE Transactions on Power Electronics
ITPHP	IEEE Transactions on Parts Hybrids and Packaging
ITPS	IEEE Transactions on Plasma Science
ITPSy	IEEE Transactions on Power Systems
ITR	IEEE Transactions on Reliability
ITRA	IEEE Transactions on Robotics Automation
ITRFI	IEEE Transactions on Radio Frequency Interference
ITSE	IEEE Transactions on Sustainable Energy
ITSET	IEEE Transactions on Space Electronics and Telemetry
ITSMC	IEEE Transactions on Systems Man and Cybernetics
ITSP	IEEE Transactions on Signal Processing
ITSU	IEEE Transactions on Sonics Ultrasonics
ITTST	IEEE Transactions on Terahertz Science and Technology
ITUFF	IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control
ITUTJ	ITU Telecommunication Journal
ITVT	IEEE Transactions on Vehicular Technology
iue..prop	IUE Proposal
IUEEN	IUE ESA Newsletter
IUENN	IUE NASA Newsletter
IUGG	International Union of Geodesy and Geophysics General Assembly
IUMJ	Indiana University Mathematics Journal
IWSci	In the World of Science
IzAlm	Izvestiya Astrofizicheskogo Instituta Alma-Ata
IzAOP	Izvestiya Atmospheric and Oceanic Physics
IzArm	Izvestiya Akademiya Nauk Armyanskoi
IzAsh	Izvestiya Akademii Nauk Turkmenskoj SSR Ashkhabad
IzAvT	Izvestiya VUZ Aviatsionnaya Tekhnika
IzAze	Akademiia Nauk Azerbaidzhanskoi SSR Izvestiia Seriia Fiziko Tekhnicheskikh i Matematicheskikh Nauk
IzDus	Dushanbe Izdatel Donish
IzEhn	Izvestiya Astronomicheskoj Engel'gardt obskoj Observatorii Kazan
IzET	Izvestiia Energetika i Transport
IzFru	Frunze Izdatel Ilim
IzFZ	Akademiia Nauk SSSR, Izvestiia, Fizika Zemli
IzGeo	Tbilisi Georgian SSR Izdatel Metsniereba
IzGla	Izvestiia Glavnoi rossiiskoi astronomicheskoi observatorii
IzKie	Izvestiya Glavnoj Astronomicheskoj Observatorii Kiev
IzKry	Izvestiya Ordena Trudovogo Krasnogo Znameni Krymskoj Astrofizicheskoj Observatorii
IzLat	Akademiia Nauk Latviiskoi SSR Izvestiia Seriia Fizicheskikh i Tekhnicheskikh Nauk
IzLen	Leningrad, Izdatel'stvo Nauka
IzMat	Izvestiya: Mathematics
IzMin	Minsk Izdatel BGU
IzMol	Akademiia Nauk Moldavskoi SSR Izvestiia Seriia Fiziko Tekhnicheskikh i Matematicheskikh Nauk
IzMZG	Akademiia Nauk SSSR Izvestiia Mekhanika Zhidkosti i Gaza
IzOde	Odesskij Gosudarstvennyi Universitet im. I. I. Mechnikova Izvestiya Astronomicheskoj Observatorii
IzPSE	Izvestiya Physics of the Solid Earth
IzPul	Izvestiya Glavnoj Astronomicheskoj Observatorii v Pulkove
IzRad	Izvestiya VUZ Radiofizika
IzSF	Izvestiia Akademii Nauk Seriya Fizicheskaya
IzSib	Akademiia Nauk SSSR Sibirskoe Otdelenie Izvestiia
IzSSR	Akademiia Nauk SSSR Izvestiia Seriia Fizicheskaia
IzTad	Izvestiia Akademiia Nauk TadzhSSR
IzTas	Tashkent Izdatel Fan
IzTif	Tiflis Izdatel Tbilisskogo Universiteta
IzTur	Akademiia Nauk Turkmenskoi SSR Izvestiia Seriia Fiziko Tekhnicheskikh Khimicheskikh i Geologicheskikh Nauk
IzUkr	Akademiia Nauk Ukrainian SSSR Izvestiia Seriia Fizicheskaia
IzUzb	Akademiia Nauk Uzbekskoi SSR Izvestiia Seriia Fiziko Matematicheskikh Nauk
IzVF	Izvestiya Vysshikh Uchebnykh Zavedenij. Fizika
IzVGA	Izvestiia vuzov. Geodeziia Aehrofotosemka
IzVil	Vilnius Izdatel Mokslas
IzVUZ	Izvestiia Vysshaia Uchebn. Zaved., Radiofizika
IzYak	Vsesoiuznaia Konferentsiia Kosmicheskim Lucham Yakutsk USSR Akademiia Nauk SSSR Izvestiia Seriia Fizicheskaia
IzYer	Vsesoiuznaia Konferentsiia Kosmicheskim Lucham Yerevan Armenian SSR Aademiia Nauk SSSR Izvestiia Seriia Fizicheskaia
JAChS	Journal of the American Chemical Society
JAco	Journal d'Acoustique
JACS	Journal of American Ceramic Society
JAD	Journal of Astronomical Data
JAdD	Journal of Advanced Dielectrics
JAdR	Journal of Advanced Research
JAE	Journal of Acoustic Emission
JAerE	Journal of Aerospace Engineering
JAerP	Journal of Aerospace Power
JAerS	Journal of Aerosol Science
JAES	Journal of Audio Engineering Society
JAESc	Journal of Asian Earth Sciences
JAESE	Journal of Astronomy and Earth Sciences Education
JAF	Journal des Astronomes Francais
JAfES	Journal of African Earth Sciences
JAG	Journal of Applied Geophysics
JAGeo	Journal of Applied Geodesy
JAGI	Journal of Artificial General Intelligence
JAHH	Journal of Astronomical History and Heritage
JAI	Journal of Astronomical Instrumentation
JaIMJ	Japan Institute of Metals Journal
JAir	Journal of Aircraft
JaJAG	Japanese Journal of Astronomy and Geophysics
JaJAP	Japanese Journal of Applied Physics
JAllC	Journal of Alloys and Compounds
JALPO	Journal of the Association of Lunar and Planetary Observers, the Strolling Astronomer
JAM	Journal of Applied Mechanics
JAMDS	Journal of Advanced Mechanical Design, Systems, and Manufacturing
JAMES	Journal of Advances in Modeling Earth Systems
JAMOP	Journal of Atomic, Molecular and Optical Physics
JAMS	Journal of the American Mathematical Society
JAMTP	Journal of Applied Mechanics and Technical Physics
JAnSc	Journal of the Astronautical Sciences
JAP	Journal of Applied Physics
JApA	Journal of Astrophysics and Astronomy
JApAS	Journal of Astrophysics and Astronomy Supplement
JApCr	Journal of Applied Crystallography
JAPE	Journal of Applied Photographic Engineering
JApEl	Journal of Applied Electrochemistry
JAPh	Journal of Applied Physiology
JApMa	IMA Journal of Applied Mathematics
JApMC	Journal of Applied Meteorology and Climatology
JApMe	Journal of Applied Meteorology
JApMM	Journal of Applied Mathematics and Mechanics
JApMw	Journal of Applied Metalworking
JApSc	Journal of Applied Sciences
JApSp	Journal of Applied Spectroscopy
JArEn	Journal of Arid Environments
JARS	Journal of Applied Remote Sensing
JAS	The Journal of Agricultural Science
JASAC	Japan Astronomical Study Association Circulars
JASCE	Journal of the American Society of Civil Engineers
JASE	Journal of Applied Science and Engineering Section on Electrical Power and Information Systems
JASEg	Journal of the Astronomical Society of Egypt
JAsGe	NRIAG Journal of Astronomy and Geophysics
JASIS	Journal of the American Society for Information Science and Technology
JASJa	Journal of the Acoustical Society of Japan
JASMS	Journal of The American Society for Mass Spectrometry
JAsPh	Journal of Astronomy and Physics (Turkey)
JASS	Journal of Astronomy and Space Sciences
JASSA	Journal of the Astronomical Society of Southern Africa
JASTP	Journal of Atmospheric and Solar-Terrestrial Physics
JASV	Journal of the Astronomical Society of Victoria Melbourne
JASWA	Journal of the Astronomical Society of Western Australia
JAtC	Journal of Atmospheric Chemistry
JATIS	Journal of Astronomical Telescopes, Instruments, and Systems
JAtOT	Journal of Atmospheric and Oceanic Technology
JATP	Journal of Atmospheric and Terrestrial Physics
JAtS	Journal of the Atmospheric Sciences
JATSo	Journal of the Antique Telescope Society
JAuGG	Journal of Australian Geology and Geophysics
JAVSO	Journal of the American Association of Variable Star Observers (JAAVSO)
JAWRA	Journal of the American Water Resources Association
JBAA	Journal of the British Astronomical Association
